text,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17
"7 October 2019: WWF has announced a change in its approach to freshwater and wetlands protection to now focus on achieving “big wins” at the systemic and landscape levels. While still focusing on animal species, WWF will seek to build coalitions of partners at the river basin level and adopt an integrated and holistic approach to protecting freshwater resources.Some of the highlights described in its freshwater brief are efforts to promote resilience in Asian deltas, maintenance of Asian flyways for migratory birds, and conservation of river dolphins in some of the world’s largest rivers.In a four-pageFreshwater Initiatives Brief,WWF outlines key areas of activity, namely: resilient Asian deltas; free-flowing rivers; Asian flyways; water sources in Africa, and river dolphins in the Amazon, Ganges, Indus, Mekong, Irrawaddy and Yangtze Rivers. A bar chart shows stages of implementation in each focus area, from the early concept stage to proposal development through to funding and implementation.The brief shows a concentration of “bankable projects” in Africa, Asia and Europe. Efforts in Central and South America are also underway, with efforts to protect the transboundary Pantanal wetlands in Bolivia, Brazil and Paraguay, and safeguard almost 300 “water reserves” created in Mexico.WWF also cites some of the major gains achieved through prior work, including an increase in river dolphin populations in the Indus and Mekong Rivers, European Union endorsement of an urgent action plan on sturgeon, and Zambia’s cancellation of a proposed hydro-power dam on the Luangwa River. [WWF Announcement]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
"The Food and Agriculture Organization of the UN (FAO) has released a publication with recommendations on how to manage the world’s peatlands. Titled ‘Peatland Mapping and Monitoring,’ the publication amalgamates the work of 35 expert authors from 14 countries, and highlights experiences from tropical peatland countries such as Indonesia, the Democratic Republic of the Congo and Peru, as well as temperate regions.According to the UN, approximately 15% of the world’s peatlands have already been drained mainly for cropping, grazing, forestry and extraction, with hotspots of peatland degradation found in Europe, Russia and Northern America, southeast Asia, East Africa, and the Amazon basin. In Indonesia, peatlands drainage coupled with deforestation have contributed to extensive fires that impact regional air quality and health.“Mapping peatlands to know their location, extent and greenhouse gas emissions potential, can help countries to plan and better manage their land, water and biodiversity, mitigating climate change and adapting to it more effectively,” said Maria Nuutinen, FAO’s lead peatlands expert and guidelines co-author.The publication is accessible in SEPAL, as part of FAO’s geospatial toolkit. According to FAO, “the peatland monitoring module provides up-to-date data on soil moisture trends to help detect drainage and monitor restoration efforts. Soil moisture maps can be updated every two weeks using Sentinel-1 imagery from the European Space Agency.”FAO’s online mapping technology has already been successfully implemented in Indonesia, which has 40% of all tropical peatlands. [UN Press Release] [FAO Press Release] [Publication:Peatland Mapping and Monitoring] [SEPAL]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"The NDC Partnership has released a report on advances in countries’ climate ambition during 2020, which was the first milestone in the five-year cycle of the Paris Agreement on climate change. By 2020 countries were expected to submit an enhanced version of their 2015 Nationally Determined Contribution to the aims of the Paris Agreement.The NDC Partnership supports countries to mobilize governments and societies behind their shared plan for climate action. In the report, the head of the secretariat for the Partnership – Pablo Vieira, Global Director, NDC Partnership Support Unit – writes that many countries presented revised NDCs that reflect greater ambition. However, overall efforts “remain far below those demanded by the Paris Agreement,” and countries will face rising temperatures “for the foreseeable future.”Ministers from Costa Rica and the Netherlands served as co-chairs of the Partnership for 2019-2020. In their foreword to the report, the co-chairs add to Vieira’s cautionary note, reporting that climate finance is still short of the USD 100 billion needed each year, and far below the levels needed. At the same time, the effects of the COVID-19 pandemic may make it even more difficult to generate political attention and financial capital.However, the co-chairs report that they see countries willing to lead, international partners are responding with commitment and flexibility, and visions are emerging for rebuilding economies in ways that combine inclusive development with a safer climate.According to the report, three themes feature in many countries’ requests for NDC support: mainstreaming climate action into sustainable development; financing climate action; and enhancing NDC quality and raising ambition. On mainstreaming, the report notes that embedding NDCs into countries’ decision-making processes is a powerful tool for change, and has taken on new dimensions amid the pandemic. Of the 74 countries where the Partnership is active, 53 have requested support to work on inclusive growth, in particular by improving social inclusion and reducing inequalities. The authors argue that these requests reflect “growing recognition of the links between climate change and social inclusion.” The approach also means that a broader range of sectoral ministries and stakeholders are being involved in climate action.On climate finance, the report finds this to be the most frequently requested area of support among NDC Partnership countries. Governments have welcomed “embedded economic advisors” who can provide targeted support for ministries of finance or planning. The top areas of need for financing climate action include: assessing the climate impacts of a country’s macroeconomic situation; costing the NDCs; stimulating green growth, and applying global recommendations to the national context.On enhancing NDCs, the report provides examples of country approaches driving climate action and enhanced ambition over the past three years. [Publication:Partnership in Action 2020: Keeping Ambition Alive] [UNFCCC NDC registry]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"The International Union for the Conservation of Nature (IUCN) has released a report that finds ocean areas are increasingly experiencing low levels of oxygen, which threatens marine ecosystems and fish species that are already impacted by ocean warming and acidification. IUCN released the report at the 25th session of the Conference of the Parties (COP25) to the UNFCCC.The report titled, ‘Ocean deoxygenation: Everyone’s problem,’ represents the largest peer-reviewed study conducted on oxygen deoxygenation. The report examines the causes, impacts and potential solutions to ocean deoxygenation. Climate change and nutrient pollution are the main drivers of ocean oxygen loss, and ocean oxygen loss is “closely related to ocean warming and acidification” caused by anthropogenic carbon dioxide emissions and biogeochemical consequences related to anthropogenic fertilization of the ocean.The report finds that ocean regions with low oxygen concentrations have expanded at all depths of the ocean. In the 1960’s, 45 sites were affected by low oxygen conditions. In 2010, the report finds, approximately 700 sites around the world are affected by low oxygen conditions, translating into a 2% decrease in global ocean oxygen between 1960 to 2010.  In addition, the volume of areas depleted of oxygen, known as “anoxic waters”, have quadrupled. The report cautions that very low ocean oxygen can affect the cycling of critical elements, such as nitrogen and phosphorous.The report states that deoxygenation is beginning to impact the balance of marine life, favoring species tolerant of low-oxygen conditions, like jellyfish, some squid and microbes, at the expense of species sensitive to low-oxygen, including most fish and many marine species. Tuna, sharks and marlins are especially sensitive to low oxygen because of their energy demands and large size; as oxygen in the ocean decreases, these species are driven into increasingly shallow surface layers of oxygen rich water, which makes them vulnerable to overfishing.“As the warming ocean loses oxygen, the delicate balance of marine life is thrown into disarray.”Under a business-as-usual scenario, the ocean is predicted to lose 3-4% of its global oxygen by 2100. The report warns, however, that this global average “masks local changes that are predicted to be […] more severe in mid to high latitudes.” Most losses are expected to be concentrated in the upper 1000m of the water column, the area richest in marine biodiversity. The report concludes there is an urgent need to “dramatically raise our ambitions to tackle and immediately curb our emissions” before human actions “irreparably impact and change the conditions favorable for life on earth.”IUCN Acting Director, Grethel Aguliar, said the report shows the significant impact of climate change on the ocean. “As the warming ocean loses oxygen, the delicate balance of marine life is thrown into disarray,” she said and urged world leaders to “commit to immediate and substantial emission cuts” to curb ocean oxygen loss and address other climate impacts. Sweden’s Minister for Environment, Isabella Lövin,called for putting “ocean deoxygenation among our top priorities in order to restore ocean health.” [IUCN Press Release] [Publication:Ocean deoxygenation: Everyone’s problem] [IUCN Publication Webpage]",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"The UN Development Programme (UNDP), the Government of Singapore and partners launched a global technology and innovation initiative for sustainable agriculture titled ‘Cultiv@te.’ The initiative, which aims to transform agricultural practices in light of increasing strains from climate change and pressures on food supplies, was announced on 12 November at the Singapore FinTech Festival.Cultiv@te will curate multi-stakeholder coalitions to tackle major challenges faced by developing countries and explore opportunities in urban agriculture, climate resilience and livestock farming.Through the programme, mature growth-stage startups and research and development teams from academic institutions, together with local innovators, technology experts, corporate mentors, and financiers, will co-design solutions with farmers and policy makers in a number of emerging markets that have large potential and needs. Applications are open viawww.cultivate.technology.Hazri Hassan, Ministry of the Environment and Water Resources, Singapore, explained that the government decided to launch this initiative together with UNDP as Singapore currently imports more than 90% of its food, which makes it vulnerable to disruptions in the global food supply. To address this, the government has set a target to locally produce 30% of Singapore’s foodstuff needs by 2030. To do so, it will transform its agri-food sector to raise productivity, invest in innovation and adopt sustainable technologies.Edwin Chow, Enterprise Singapore, added that open innovation is becoming “increasingly important” in driving the development of tech solutions that are both novel and practical in addressing real-world problems. He said Cultiv@te will help companies and governments to access a wider pool of solution providers, while allowing small and medium enterprises (SMEs) and startups to validate the market need for their new and existing technology.Bradley Busetto, UNDP, highlighted the importance of having globally-sourced technologies and innovations combine in new ways with market insights, know-how and traditional farming practices to positively impact sustainability and livelihoods of farming communities. [UNDP Press Release]",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"The resumed ninth session of the Ad Hoc Open-ended Working Group to Enhance the Functioning of the Multilateral System of Access and Benefit-sharing (MLS) of the International Treaty on Plant Genetic Resources for Food and Agriculture (ITPGRFA or Treaty) convened with the expectation to conclude negotiations on a package of measures to enhance the functioning of the MLS.In June 2019, the Working Group made significant advances, including tentative agreement to amend Annex I of the Treaty (list of crops in the MLS), and progress on revising the Standard Material Transfer Agreement (SMTA). Rates for benefit-sharing payments, and information related to plant genetic resources for food and agriculture (PGRFA), also referred to as genetic sequence data or digital sequence information (DSI), remained as the main outstanding issues. The meeting was thus suspended to allow for additional time to finalize negotiations.However, at the three-day resumed session from 24-26 October 2019, at the headquarters of the Food and Agriculture Organization of the UN (FAO) in Rome, Italy, the Working Group was unable to bridge positions between the developed and the developing world. TheEarth Negotiations Bulletinanalysis of the meeting indicates that “delegates’ inability to reach consensus on the basis of a Co-Chairs’ compromise proposal dealing with the most controversial elements as a package resulted in re-opening the draft revised Standard Material Transfer Agreement (SMTA) and the draft resolution—the main texts under consideration—and inserting a significant number of proposed revisions.” While there were hopes going into the meeting that it would conclude with an agreement, the Working Group now “needs to manage ‘a crisis in their hands,'” according to Co-Chair Hans Hoogeveen (Netherlands).TheEarth Negotiations Bulletincoverage of the meeting indicates that deep principled divergences remained, in particular regarding benefit-sharing payments from use of genetic sequence data. Co-Chairs Hoogeveen and Javad Mozafari (Iran) issued a compromise proposal on a package of elements, addressing benefit-sharing payment rates, benefit-sharing from genetic sequence data, and the review of the enhanced MLS, but consensus was not reached on the draft.The Co-Chairs will hold informal consultations immediately prior to the Governing Body (GB) session to be held from 11-16 November 2019, with one or two representatives from each region, in a final attempt to reach consensus. [ENB coverage]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"The first brief of the Brookings Institution’s ‘City Playbook for Advancing the SDGs’ explores the local governance structure used in Bristol, United Kingdom.Authored by Allan Macleod, Bristol City Council, thebrieftitled, ‘Why the One City model works: Local governance to achieve the SDGs and leave no one behind,’ reviews the city’s response to shrinking budgets over the past decade.Beginning in 2016, the City Office began convening biannual stakeholder gatherings (called “City Gatherings”) as well as citizen consultations to identify shared priorities and challenges. The brief reports that City Gatherings are now attended by over 250 stakeholders.A “One City Plan” was developed out of these consultations. The Plan identifies a shared vision and objectives, and opportunities for partners to be involved in improving the city. Six “One City boards” meet quarterly to discuss issues related to six themes: Connectivity, Economy, Environment, Health and Wellbeing, Homes and Communities, and Learning and Skills.The brief provides an overview of the governance structure of the Plan, noting that it is supported by a small core team that facilitates partnerships and empowers stakeholder action. The author also notes strengths and weaknesses of the model, highlighting challenges with asking partners to support work that “should be covered by local taxation.”The Brookings Institution’s ‘City Playbook for Advancing the SDGs’ series provides how-to briefs and case studies on advancing sustainable development and social progress locally. The briefs focus on four themes: Governance and Partnerships; Data and Measuring Progress; SDG Priorities; and Budgeting and Finance. The briefs come from cities participating in Brookings’ SDG Leadership Cities community of practice. [City Playbook for Advancing the SDGs] [Publication:Why the One City model works: Local governance to achieve the SDGs and leave no one behind]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"23 September 2019: The Green Climate Fund (GCF), UN Development Programme (UNDP), International Renewable Energy Agency (IRENA) and Sustainable Energy for All (SEforALL) launched the ‘Climate Investment Platform’ (CIP) to scale up climate action and catalyze the flow of capital to clean energy initiatives. The CIP will present its progress at the 25th session of the Conference of the Parties (COP 25) to the UNFCCC in December 2019.By 2025, the Platform aims to directly mobilize USD 1 trillion in clean energy investment in 20 least developed countries (LDCs). The Platform addresses four building blocks, or “tracks,” along the climate finance value chain: supporting governments to scale up their Nationally Determined Contributions (NDCs), including specification of ambitious energy targets; establishing clean energy policies and regulations; financial de-risking of energy prices; and supporting access to capital markets to connect clean energy investors with projects. Together, these four tracks aim to promote a comprehensive framework to deliver system-wide transformation that addresses both mitigation and adaptation. The CIP’s first service line focuses on the global transition to clean energy, recognizing that energy accounts for two-thirds of total greenhouse gas (GHG) emissions.The CIP will accelerate system-wide change and deliver co-benefits across the SDGs.IRENA Director-General Francesco La Camera said renewable energy and energy efficiency “can deliver 90% of the emissions reductions needed under the Paris Agreement on climate change, but investment and deployment must increase significantly.” La Camera said the CIP combines the strengths of the respective organizations to “deliver tailored, proactive policy and investment support to set the energy transformation on a climate-safe path.” GCF Executive Director, Yannick Glemarec, said the CIF “will simplify access to climate finance.”Special Representative of the UN Secretary-General for Sustainable Energy for All (SEforALL), Rachel Kyte, said the CIP will help “bridge the gap between supply and demand to accelerate capital and scale up climate-resilient investments,” which will enable countries to increase their climate ambition. UNDP Administrator Achim Steiner said the CIP will “accelerate system-wide change and deliver co-benefits across the SDGs – from employment and economic growth to reduced inequalities and improved health.”The CIP plans to launch additional services on adaptation, land use, and cities and infrastructure in the first quarter of 2020.The Platform was launched ahead of theUN Secretary-General’s Climate Action Summit. [IRENA Press Release] [UNDP Press Release] [Climate Action Summit Press Release] [CIP Platform]",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"Participants at the second annual Global Education Forum called to reduce the impact of COVID-19 on education to avoid a “generational catastrophe.” UN leaders and organizations are urging financial support to achieve SDG 4 (quality education) ahead of an extraordinary session of the Global Education Meeting in October 2020.The Global Education Forum convened virtually on 10 September 2020 in the lead-up to the 2020 Global Education Meeting (GEM), an extraordinary session that will convene from 20-22 October.Forum participants discussed a white paper from theSave Our Futurecampaign, which provides a roadmap for education in COVID-19 recovery and across the Decade of Action for the SDGs. The paper builds on the UN Secretary-General’sAugust 2020 policy brieftitled, ‘Education during COVID-19 and beyond.’ That Policy Brief:States that the COVID-19 pandemic has affected nearly 1.6 billion learners across all continents, and school closures have impacted 94% of the world’s student population and up to 99% of learners in low and lower-middle income countries;Details the impacts to education and learning while stressing that the impacts go beyond education, affecting the provision of essential services to children and communities, access to nutritious food, the ability of many parents to work, and the potential risks of violence against women and girls; andMakes concrete recommendations to prevent the “learning crisis from becoming a generational catastrophe,” including: suppressing transmission of the virus and planning for school re-openings; protecting education financing and coordinating for impact; building resilient education systems for equitable and sustainable development; and reimagining education and accelerating change in teaching and learning.Addressing the Forum, UN Deputy Secretary-General Amina Mohammedurged making educationa top priority in the pandemic response and recovery spending in international investments and national budgets. She emphasized the need to ensure that every dollar invested “leads to maximum possible impact, especially for our girls.”Apolicy paperreleased by the UN Educational, Scientific and Cultural Organization (UNESCO) in September 2020 cites a USD148 billion annual financing gap in low- and lower-middle-income countries to achieve SDG 4 from now until 2030. COVID-19-related school closures could increase this financing gap by up to one-third, the paper reports.From 20-22 October, an extraordinary session of the Global Education Meeting (2020 GEM) will convene on the topic, ‘Education post-COVID-19.’ The meeting is co-hosted by UNESCO and the UK. The session aims to be a platform for participants to “protect and rethink education in the current and post-COVID-19 world,” and set priorities for educational recovery and progress in the Decade of Action for the SDGs. The meeting is expected to result in the 2020 GEM Declaration. The Declaration will present an improved global education cooperation mechanism, for adoption at the next GEM in 2021. [2020 GEM session webpage]",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
"20 July 2019: The International Labour Organization (ILO) has released a report emphasizing the need for “urgent acceleration of efforts” to achieve SDG 8 (decent work and economic growth). The report charts progress to date and articulates interlinkages between sustained, inclusive and sustainable growth, proposing an integrated policy framework moving forward.Titled, ‘Time to Act for SDG 8: Integrating Decent Work, Sustained Growth and Environmental Integrity,’ the report aims to improve understanding of the Goal at three levels: empirical, conceptual and policy. It does so by outlining progress towards the 12 targets of the Goal, mapping the interlinkages between SDG 8’s targets and those of other Goals, and describing a positive spiral of policy options and institutional support that can create the enabling environment for achieving the three dimensions of the Goal.The authors question wealthy countries’ continued growth-based approach, and highlight the need for new policy choices.On progress to date, the report describes a context of slowing and uneven economic growth. It notes that least developed countries (LDCs) are falling short of their target growth rate of 7%, and flags that progress on reducing participation in the informal economy has been slow, with informal workers representing 61% of the global workforce.On trends in gender and youth, the report highlights that gender pay gaps remain pervasive. The rate of young people not in employment, education or training (NEET) is higher for women and youth in low- and middle-income countries.On interlinkages, the report emphasizes that in order to achieve SDG 8, progress must also be made on Goals 9 (industry, innovation and infrastructure), 7 (affordable and clean energy), 1 (no poverty), 4 (quality education), 5 (gender equality) and 16 (peace, justice and strong institutions). It notes that decent work can be both an outcome and a driver of these other SDGs, and stresses that progress towards Goal 10 (reduced inequalities) is also key to “ensuring that productivity gains translate into higher incomes and wages for all.” Linking to the environmental dimension of the SDGs, the report questions wealthy countries’ continued “growth-based approach.” Instead, the authors call for striking a balance between economic, social and environmental aims, highlighting the importance of new policy choices moving forward.On policy options and institutional support to achieve SDG 8, the report highlights the importance of: national employment policies; labor standards and labor market institutions and their role in promoting inclusion, equity and security; and the social dialogue, partnerships and exchange of information needed to fulfill the ambitions of the Goal. These three areas, the report notes, are key to creating a “policy spiral.”The report concludes that an integrated policy agenda accounting for the dynamic interlinkages between SDG 8 and other Goals is required, and the ILO’s Decent Work Agenda can serve as a key reference point. [Publication:Time to Act for SDG 8 : Integrating Decent Work, Sustained Growth and Environmental Integrity]",1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0
"25 September 2019: In parallel to the UN Secretary-General’s Climate Action Summit, five organizations – Global Wildlife Conservation, Rainforest Foundation Norway, UN Development Programme (UNDP), Wildlife Conservation Society (WCS) and World Resources Institute (WRI) – launched the ‘Forests for Life Partnership’ in recognition of forests as a nature-based solution to climate change and biodiversity protection.In launching the Partnership, the organizations highlighted how forests help remove carbon dioxide from the atmosphere and mitigate climate change, maintain regional rainfall patterns, and sustain the livelihoods and culture of indigenous peoples. Forests provide a home for 80% of the world’s land-based wildlife species. Despite the benefits they provide, less than 25% of the world’s forests are considered intact. According to WRI, these intact forests “are being damaged at twice the rate of forests overall,” from logging, demand for charcoal and fuel, land clearing for industrial agriculture and illegal hunting.The Forest for Life Partnership aims to “halt and reverse forest degradation across one billion hectares of the most intact forests worldwide” to achieve global climate, biodiversity and sustainable development targets. The Partnership will focus on the Amazon, Congo Basin, New Guinea and the northern boreal zone as well as smaller, intact forests across Mesoamerica, Madagascar, and South and Southeast Asia. Efforts will include engaging indigenous peoples in the management and conservation of forests and promoting policies to protect forests from degradation and fragmentation.The Partnership has committed US$50 million over the next five years to protect the world’s most intact forests and aims to mobilize an additional US$200 million from governments, foundations, corporations and individuals through a dedicated ‘Forests for Life Action Fund.’ One of the first commitments under the Partnership is the ‘5 Great Forests of Mesoamerica Initiative,’ though which Belize, Guatemala, Costa Rica, Honduras, El Salvador, Nicaragua, Panama, and the Dominican Republic will work together to address deforestation and support forest governance and forest-friendly livelihoods in the Maya, La Moskitia, Indio Maíz-Tortuguero and the Darién forests.This Partnership is one of several initiatives launched to support forest-centered nature-based solutions to climate change and other development challenges. The Food and Agriculture Organization of the UN (FAO) and the UN Economic Commission for Europe (UNECE) also announced initiatives at the Climate Action Summit. FAO’s ‘Great Green Wall for Cities’ aims to green urban areas, integrating them into a continuum of restored landscapes. UNECE’s ‘Trees in Cities Challenge’ calls on mayors to make tree planting pledges towards reducing GHGs and improving their cities’ health and well-being. [WRI Press Release] [SDG Knowledge Hub Story on Launch of Nature-Based Initiatives]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"The co-facilitators overseeing the preparatory process for a Summit on Biodiversity at the level of Heads of State and Government to be convened by the President of the General Assembly, per resolution A/RES/74/221, have released a final draft of modalities. The modalities will remain under silence procedure from Thursday, 19 March at 10:00 a.m. through 10:00 a.m. on Monday, 23 March 2020.In light of the COVID-19 pandemic, Rodrigo Alberto Carazo Zeledón, Permanent Representative of Costa Rica to the UN, and Mariangela Zappia, Permanent Representative of Italy to the UN, the co-facilitators overseeing the preparatory process, released the final draft on 13 March 2020. They noted that following a meeting with the President of the General Assembly and given the advanced state of negotiations, that no further consultations would be convened to avoid exposing delegates to unnecessary risks.The modalities indicate that the Summit on Biodiversity will be held at the UN Headquarters in New York, US on the first day of the general debate of the Assembly at its seventy-fifth session, from 3:00 p.m. to 6:00 p.m. The Summit will consist of an opening segment, a plenary segment for general discussion, two Leaders’ Dialogues and a brief closing segment. It will convene under the theme, ‘Urgent Action on Biodiversity for Sustainable Development’.The Summit will convene under the theme, ‘Urgent Action on Biodiversity for Sustainable Development’.The two consecutive Leaders’ Dialogues of 75 minutes each will begin at 10:00 a.m. on the second day of the general debate. The first Dialogue will convene on the theme ‘Addressing biodiversity loss and mainstreaming biodiversity for sustainable development,’ while the second will address ‘Harnessing science, technology and innovation.’The modalities request the President of the General Assembly to prepare, before the opening of the 15th meeting of Conference of the Parties to the Convention on Biological Diversity, “a factual summary to reflect the discussions of the Summit held to highlight the urgency of action at the highest levels in support of a post-2020 global biodiversity framework that contributes to the 2030 Agenda for Sustainable Development and places the global community on a path towards realizing the 2050 Vision for Biodiversity on Living in harmony with nature.” [Letter from the President of the General Assembly dated 13 March 2020]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"24 September 2019: The Sustainability Action Plan of the World Travel and Tourism Council (WTTC) aims to encourage and help the travel and tourism sector to take stronger and more ambitious action to address climate change.During the launch event at the 2019 WTTC Conference in New York, US, UNFCCC Executive Secretary Patricia Espinosa said that while the travel and tourism industry has grown to be a global economic force, generating 10.4% of global Gross Domestic Product (GDP) in 2018, it also accounts for around 8% of global greenhouse gas (GHG) emissions that she described as “the single biggest threat to the travel and tourism sector.”One of the actions to be initiated under a WTTC/UNFCCC Common Agenda, launched in 2018, is a sector-wide dialogue on climate action in the travel and tourism sector, bringing together industry leaders, climate experts and others to identify how the sector can contribute to the implementation of the Paris Agreement on climate change, and to develop cooperation models under the UNFCCC to facilitate such action.In 2009, the WTTC set an aspirational target for the sector of reducing its total carbon emissions by at least 50% by 2035, with an interim target of 30% by 2020. A WTTC progress report in 2015 noted that member companies had improved their carbon efficiency by 20% over the previous decade.WTTC is a signatory to UNFCCC’s Climate Neutral Now (CNN) initiative, with a commitment to become climate neutral by 2050, in line with the Paris Agreement. [WTTC Announcement] [UNFCCC Press Release]",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
"The African Group of Negotiators on Climate Change (AGN) issued a response to thedecisionto postpone the 26th session of the Conference of the Parties (COP 26) to the UNFCCC due to the global COVID-19 crisis. The statement emphasizes the vulnerability of African countries to the negative impacts of climate change, calls on developed countries to agree on a path forward to close the climate finance gap in 2020, and stresses the importance of holding COP 27 in 2021.Tanguy Gahouma-Bekale, AGN Chair and Vice-President of the Bureau of COP/CMP/CMA, states that the AGN stands in solidarity with countries affected by COVID-19, and stresses the importance for all nations to continue to build momentum for ambitious climate action.Gahouma-Bekale highlights 2020 as “an important year for the completion of the rules of the Paris Agreement and the Communication of revised and updated Nationally Determined Contributions (NDCs) as well as the start of the implementation of the Paris Agreement.” He laments the postponement due to COVID-19 of many events which are crucial to building political momentum before the sessions of the UNFCCC subsidiary bodies and COP 26.The AGN emphasizes the urgency for all nations to take ambitious collective climate action at COP 26. Highlighting African countries’ particular vulnerability to the effects of climate change, the Group notes scientists have warned that the world has reached a “tipping point.”The AGN calls on developed countries to close the climate finance gap by the end of 2020 despite the postponement of the COP, in line with the commitment by developed countries to provide USD 100 billion per year by 2020 to support developing countries’ climate adaptation and mitigation efforts. However, the statement notes, aSeptember 2019 reportby the Organisation for Economic Cooperation and Development (OECD) found that developed countries provided only USD 71.2 billion in climate finance to developing countries in 2017.The AGN also maintains that the UNFCCC should hold COP 27 in Africa in 2021, as originally planned, stating that the timing of the COPs “must be linked to the urgent need of addressing the climate emergency.” [AGN Press Release] [SDG Knowledge Hub Sources]By Gabriel Gordon-Harper, Thematic Expert on Climate Change and Sustainable Energy",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"The Raoul Wallenberg Institute of Human Rights and Humanitarian Law (RWI) has published a report on legal instruments and practice in Southeast Asia that support a right to a healthy environment. The authors find that countries in the region that recognize this right are in a better position to tackle environmental challenges.Launched on 1 December 2020, the report titled, ‘Prosperous and Green in the Anthropocene: The human right to a healthy environment in Southeast Asia,’ provides a detailed overview of specific laws, policies, and court decisions in member states of the Association of Southeast Asian Nations (ASEAN) that support the right to a healthy environment. It also proposes options for strengthening implementation.According to theUN special rapporteur on human rights and the environment, this right includes the rights to clean air, a safe climate, access to safe water and adequate sanitation, healthy and sustainably produced food, non-toxic environments in which to work, study and play, and healthy biodiversity and ecosystems. In order to secure this right, people must have access to information, public participation in environmental decision making, and access to justice and effective remedies.The authors explain that recognizing the human right to a healthy environment helps ensure the conditions for continued sustainable development and prosperity. “The social-ecological crises we are experiencing do not affect all people in the same way,” and as countries seek to solve them, they need effective human rights and environmental legal and policy frameworks.ASEAN countries have several options to strengthen their right to a healthy environment, according to the report. First, they could adopt a regional instrument similar to the Escazu agreement adopted by Latin American and Caribbean countries, or become party to the Aarhus Convention, a European agreement that is now open to non-European Member States. ASEAN governments also could support integrating human rights into the post-2020 global biodiversity framework and other multilateral environmental agreements. Among other further options they could continue to support specialized environmental courts and national human rights institutions (NHRIs). [Publication:Prosperous and Green in the Anthropocene: The human right to a healthy environment in Southeast Asia] [Launch event recording]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Two civil society campaigns have released a joint communique on elements for the political declaration to be adopted at the UN’s 75th anniversary. This event should be “more than a birthday party,” the authors suggest, and the political declaration should go beyond “bland re-commitments to Charter principles plus recognition of previous accomplishments and already agreed goals.”Negotiations are underway on the political declaration among UN Member States. The text is expected to be adopted by world leaders at the high-level event to commemorate the anniversary in September 2020.The declaration should catalyze a formal, post-2020 review of the global governance architecture.The UN2020 Campaign and the Together First Network released the communique to UN Member States on 10 April 2020. The text emphasizes the need for three elements in the UN75 political declaration. First, it highlights calls for a formalized international process to strengthen multilateralism. The UN75 political declaration, therefore, should catalyze a post-2020 longer-term review of the global governance architecture, perhaps through the creation of a new independent commission or high-level panel.Second, it argues that the time has come for a system-wide review of the modalities for civil society participation. Over the past several years, civil society has “demonstrated its capacity to self-organize, and to partner with governments and the UN to deliver successful outcomes.” The authors note that communications innovations are allowing for greater participation, and a fairer and more democratic approach to incorporating peoples’ voices is possible.Third, on better funding the UN, the communique notes that contributions from Member States are assessed and allocated using an “arcane and opaque” set of rules, and this system has not generated adequate funding for the UN’s work. The text calls for the UN75 political declaration to mandate a wide-ranging review and reform of the means for providing essential funding of the UN system.The communique notes that the vital role of the World Health Organization during the COVID-19 crisis has demonstrated how essential the UN system is for coordinating global policies and actions, providing reliable information, and setting standards for appropriate responses. The global financial and economic downturn associated with COVID-19 also reinforces the need for “new tools and approaches to cross-border cooperation in our hyperconnected world.”The civil society campaigns intend to launch a UN75 People’s Declaration and Plan of Action during the UN75 People’s Forum for the UN We Need. This event was originally scheduled for 23 April 2020 at UN Headquarters but converted to a multimedia global videoconference on 14 May 2020, due to COVID-19. [UN2020 Campaign] [Together First Network]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
